Date,Time,DateTime (ISO),Terror Zone
2025-11-11,05:00,2025-11-11T05:00:00+00:00,"Kurast Bazaar, Ruined Temple, Disused Fane"
2025-11-11,06:00,2025-11-11T06:00:00+00:00,"Ancient's Way, Icy Cellar"
2025-11-11,07:00,2025-11-11T07:00:00+00:00,"Burial Grounds, Crypt, Mausoleum"
2025-11-11,08:00,2025-11-11T08:00:00+00:00,Far Oasis
2025-11-11,09:00,2025-11-11T09:00:00+00:00,"Rocky Waste, Stony Tomb"
2025-11-11,10:00,2025-11-11T10:00:00+00:00,"Crystalline Passage, Frozen River"
2025-11-11,11:00,2025-11-11T11:00:00+00:00,Chaos Sanctuary
2025-11-11,12:00,2025-11-11T12:00:00+00:00,Lut Gholein Sewers
2025-11-11,13:00,2025-11-11T13:00:00+00:00,Stony Field
2025-11-11,14:00,2025-11-11T14:00:00+00:00,Tristram
2025-11-11,15:00,2025-11-11T15:00:00+00:00,"Blood Moor, Den of Evil"
2025-11-11,16:00,2025-11-11T16:00:00+00:00,Chaos Sanctuary
2025-11-11,17:00,2025-11-11T17:00:00+00:00,"Flayer Jungle, Flayer Dungeon"
2025-11-11,18:00,2025-11-11T18:00:00+00:00,"Bloody Foothills, Frigid Highlands, Abaddon"
2025-11-11,19:00,2025-11-11T19:00:00+00:00,"Arreat Plateau, Pit of Acheron"
2025-11-11,20:00,2025-11-11T20:00:00+00:00,The Secret Cow Level
2025-11-11,21:00,2025-11-11T21:00:00+00:00,"Crystalline Passage, Frozen River"
2025-11-11,22:00,2025-11-11T22:00:00+00:00,"Outer Steppes, Plains of Despair"
2025-11-11,23:00,2025-11-11T23:00:00+00:00,"City of the Damned, River of Flame"
2025-11-12,00:00,2025-11-12T00:00:00+00:00,"Dark Wood, Underground Passage"
2025-11-12,01:00,2025-11-12T01:00:00+00:00,Forgotten Tower
2025-11-12,02:00,2025-11-12T02:00:00+00:00,"Dry Hills, Halls of the Dead"
2025-11-12,03:00,2025-11-12T03:00:00+00:00,Great Marsh
2025-11-12,04:00,2025-11-12T04:00:00+00:00,"Nihlathak's Temple, Temple Halls"
2025-11-12,05:00,2025-11-12T05:00:00+00:00,"Cathedral, Catacombs"
2025-11-12,06:00,2025-11-12T06:00:00+00:00,"Glacial Trail, Drifter Cavern"
2025-11-12,07:00,2025-11-12T07:00:00+00:00,"Dark Wood, Underground Passage"
2025-11-12,08:00,2025-11-12T08:00:00+00:00,"Outer Steppes, Plains of Despair"
2025-11-12,09:00,2025-11-12T09:00:00+00:00,Durance of Hate
2025-11-12,10:00,2025-11-12T10:00:00+00:00,"Flayer Jungle, Flayer Dungeon"
2025-11-12,11:00,2025-11-12T11:00:00+00:00,"Rocky Waste, Stony Tomb"
2025-11-12,12:00,2025-11-12T12:00:00+00:00,Travincal
2025-11-12,13:00,2025-11-12T13:00:00+00:00,"Barracks, Jail"
2025-11-12,14:00,2025-11-12T14:00:00+00:00,"Lost City, Valley of Snakes, Claw Viper Temple"
2025-11-12,15:00,2025-11-12T15:00:00+00:00,Pit
2025-11-12,16:00,2025-11-12T16:00:00+00:00,Stony Field
2025-11-12,17:00,2025-11-12T17:00:00+00:00,Arcane Sanctuary
2025-11-12,18:00,2025-11-12T18:00:00+00:00,"Outer Steppes, Plains of Despair"
2025-11-12,19:00,2025-11-12T19:00:00+00:00,"Ancient's Way, Icy Cellar"
2025-11-12,20:00,2025-11-12T20:00:00+00:00,"Dry Hills, Halls of the Dead"
2025-11-12,21:00,2025-11-12T21:00:00+00:00,"Worldstone Keep, Throne of Destruction, Worldstone Chamber"
2025-11-12,22:00,2025-11-12T22:00:00+00:00,"Arreat Plateau, Pit of Acheron"
2025-11-12,23:00,2025-11-12T23:00:00+00:00,"Black Marsh, The Hole"
2025-11-13,00:00,2025-11-13T00:00:00+00:00,"Cold Plains, Cave"
2025-11-13,01:00,2025-11-13T01:00:00+00:00,"Flayer Jungle, Flayer Dungeon"
2025-11-13,02:00,2025-11-13T02:00:00+00:00,"Crystalline Passage, Frozen River"
2025-11-13,03:00,2025-11-13T03:00:00+00:00,"Burial Grounds, Crypt, Mausoleum"
2025-11-13,04:00,2025-11-13T04:00:00+00:00,Travincal
2025-11-13,05:00,2025-11-13T05:00:00+00:00,"Bloody Foothills, Frigid Highlands, Abaddon"
2025-11-13,06:00,2025-11-13T06:00:00+00:00,"Tal Rasha's Tombs, Tal Rasha's Chamber"
2025-11-13,07:00,2025-11-13T07:00:00+00:00,"Spider Forest, Spider Cavern"
2025-11-13,08:00,2025-11-13T08:00:00+00:00,"Lost City, Valley of Snakes, Claw Viper Temple"
2025-11-13,09:00,2025-11-13T09:00:00+00:00,Chaos Sanctuary
2025-11-13,10:00,2025-11-13T10:00:00+00:00,Far Oasis
2025-11-13,11:00,2025-11-13T11:00:00+00:00,Ancient Tunnels
2025-11-13,12:00,2025-11-13T12:00:00+00:00,Lut Gholein Sewers
2025-11-13,13:00,2025-11-13T13:00:00+00:00,The Secret Cow Level
2025-11-13,14:00,2025-11-13T14:00:00+00:00,"City of the Damned, River of Flame"
2025-11-13,15:00,2025-11-13T15:00:00+00:00,"Ancient's Way, Icy Cellar"
2025-11-13,16:00,2025-11-13T16:00:00+00:00,"Black Marsh, The Hole"
2025-11-13,17:00,2025-11-13T17:00:00+00:00,"Dark Wood, Underground Passage"
2025-11-13,18:00,2025-11-13T18:00:00+00:00,Great Marsh
2025-11-13,19:00,2025-11-13T19:00:00+00:00,Travincal
2025-11-13,20:00,2025-11-13T20:00:00+00:00,"Dry Hills, Halls of the Dead"
2025-11-13,21:00,2025-11-13T21:00:00+00:00,"Outer Steppes, Plains of Despair"
2025-11-13,22:00,2025-11-13T22:00:00+00:00,"Rocky Waste, Stony Tomb"
2025-11-13,23:00,2025-11-13T23:00:00+00:00,"Barracks, Jail"
2025-11-14,00:00,2025-11-14T00:00:00+00:00,"Worldstone Keep, Throne of Destruction, Worldstone Chamber"
2025-11-14,01:00,2025-11-14T01:00:00+00:00,Stony Field
2025-11-14,02:00,2025-11-14T02:00:00+00:00,"Black Marsh, The Hole"
2025-11-14,03:00,2025-11-14T03:00:00+00:00,"Arreat Plateau, Pit of Acheron"
2025-11-14,04:00,2025-11-14T04:00:00+00:00,"Blood Moor, Den of Evil"
2025-11-14,05:00,2025-11-14T05:00:00+00:00,"Dark Wood, Underground Passage"
2025-11-14,06:00,2025-11-14T06:00:00+00:00,"Worldstone Keep, Throne of Destruction, Worldstone Chamber"
2025-11-14,07:00,2025-11-14T07:00:00+00:00,"Tal Rasha's Tombs, Tal Rasha's Chamber"
2025-11-14,08:00,2025-11-14T08:00:00+00:00,"Spider Forest, Spider Cavern"
2025-11-14,09:00,2025-11-14T09:00:00+00:00,Arcane Sanctuary
2025-11-14,10:00,2025-11-14T10:00:00+00:00,Pit
2025-11-14,11:00,2025-11-14T11:00:00+00:00,"Barracks, Jail"
2025-11-14,12:00,2025-11-14T12:00:00+00:00,"City of the Damned, River of Flame"
2025-11-14,13:00,2025-11-14T13:00:00+00:00,"Kurast Bazaar, Ruined Temple, Disused Fane"
2025-11-14,14:00,2025-11-14T14:00:00+00:00,"Nihlathak's Temple, Temple Halls"
2025-11-14,15:00,2025-11-14T15:00:00+00:00,"Black Marsh, The Hole"
2025-11-14,16:00,2025-11-14T16:00:00+00:00,Far Oasis
2025-11-14,17:00,2025-11-14T17:00:00+00:00,Tristram
2025-11-14,18:00,2025-11-14T18:00:00+00:00,Durance of Hate
2025-11-14,19:00,2025-11-14T19:00:00+00:00,Ancient Tunnels
2025-11-14,20:00,2025-11-14T20:00:00+00:00,"Cathedral, Catacombs"
2025-11-14,21:00,2025-11-14T21:00:00+00:00,"Bloody Foothills, Frigid Highlands, Abaddon"
2025-11-14,22:00,2025-11-14T22:00:00+00:00,Travincal
2025-11-14,23:00,2025-11-14T23:00:00+00:00,Chaos Sanctuary
2025-11-15,00:00,2025-11-15T00:00:00+00:00,"City of the Damned, River of Flame"
2025-11-15,01:00,2025-11-15T01:00:00+00:00,Arcane Sanctuary
2025-11-15,02:00,2025-11-15T02:00:00+00:00,"Burial Grounds, Crypt, Mausoleum"
2025-11-15,03:00,2025-11-15T03:00:00+00:00,"Worldstone Keep, Throne of Destruction, Worldstone Chamber"
2025-11-15,04:00,2025-11-15T04:00:00+00:00,Great Marsh
2025-11-15,05:00,2025-11-15T05:00:00+00:00,"Arreat Plateau, Pit of Acheron"
2025-11-15,06:00,2025-11-15T06:00:00+00:00,"Tal Rasha's Tombs, Tal Rasha's Chamber"
2025-11-15,07:00,2025-11-15T07:00:00+00:00,"Crystalline Passage, Frozen River"
2025-11-15,08:00,2025-11-15T08:00:00+00:00,"Blood Moor, Den of Evil"
2025-11-15,09:00,2025-11-15T09:00:00+00:00,Tristram
2025-11-15,10:00,2025-11-15T10:00:00+00:00,"Ancient's Way, Icy Cellar"
2025-11-15,11:00,2025-11-15T11:00:00+00:00,The Secret Cow Level
2025-11-15,12:00,2025-11-15T12:00:00+00:00,"Lost City, Valley of Snakes, Claw Viper Temple"
2025-11-15,13:00,2025-11-15T13:00:00+00:00,"Dry Hills, Halls of the Dead"
2025-11-15,14:00,2025-11-15T14:00:00+00:00,Pit
2025-11-15,15:00,2025-11-15T15:00:00+00:00,"Rocky Waste, Stony Tomb"
2025-11-15,16:00,2025-11-15T16:00:00+00:00,"Flayer Jungle, Flayer Dungeon"
2025-11-15,17:00,2025-11-15T17:00:00+00:00,Arcane Sanctuary
2025-11-15,18:00,2025-11-15T18:00:00+00:00,Durance of Hate
2025-11-15,19:00,2025-11-15T19:00:00+00:00,Forgotten Tower
2025-11-15,20:00,2025-11-15T20:00:00+00:00,"Cathedral, Catacombs"
2025-11-15,21:00,2025-11-15T21:00:00+00:00,"Glacial Trail, Drifter Cavern"
2025-11-15,22:00,2025-11-15T22:00:00+00:00,Pit
2025-11-15,23:00,2025-11-15T23:00:00+00:00,"Lost City, Valley of Snakes, Claw Viper Temple"
2025-11-16,00:00,2025-11-16T00:00:00+00:00,"Cold Plains, Cave"
2025-11-16,01:00,2025-11-16T01:00:00+00:00,"Nihlathak's Temple, Temple Halls"
2025-11-16,02:00,2025-11-16T02:00:00+00:00,Lut Gholein Sewers
2025-11-16,03:00,2025-11-16T03:00:00+00:00,"Burial Grounds, Crypt, Mausoleum"
2025-11-16,04:00,2025-11-16T04:00:00+00:00,Far Oasis
2025-11-16,05:00,2025-11-16T05:00:00+00:00,"Dark Wood, Underground Passage"
2025-11-16,06:00,2025-11-16T06:00:00+00:00,Arcane Sanctuary
2025-11-16,07:00,2025-11-16T07:00:00+00:00,"Tal Rasha's Tombs, Tal Rasha's Chamber"
2025-11-16,08:00,2025-11-16T08:00:00+00:00,"City of the Damned, River of Flame"
2025-11-16,09:00,2025-11-16T09:00:00+00:00,"Barracks, Jail"
2025-11-16,10:00,2025-11-16T10:00:00+00:00,"Cold Plains, Cave"
2025-11-16,11:00,2025-11-16T11:00:00+00:00,Durance of Hate
2025-11-16,12:00,2025-11-16T12:00:00+00:00,Ancient Tunnels
2025-11-16,13:00,2025-11-16T13:00:00+00:00,Great Marsh
2025-11-16,14:00,2025-11-16T14:00:00+00:00,"Kurast Bazaar, Ruined Temple, Disused Fane"
2025-11-16,15:00,2025-11-16T15:00:00+00:00,"Bloody Foothills, Frigid Highlands, Abaddon"
2025-11-16,16:00,2025-11-16T16:00:00+00:00,"Black Marsh, The Hole"
2025-11-16,17:00,2025-11-16T17:00:00+00:00,"Outer Steppes, Plains of Despair"
2025-11-16,18:00,2025-11-16T18:00:00+00:00,"Crystalline Passage, Frozen River"
2025-11-16,19:00,2025-11-16T19:00:00+00:00,Pit
2025-11-16,20:00,2025-11-16T20:00:00+00:00,Stony Field
2025-11-16,21:00,2025-11-16T21:00:00+00:00,"Ancient's Way, Icy Cellar"
2025-11-16,22:00,2025-11-16T22:00:00+00:00,"Cathedral, Catacombs"
2025-11-16,23:00,2025-11-16T23:00:00+00:00,"Glacial Trail, Drifter Cavern"
2025-11-17,00:00,2025-11-17T00:00:00+00:00,Tristram
2025-11-17,01:00,2025-11-17T01:00:00+00:00,"Blood Moor, Den of Evil"
2025-11-17,02:00,2025-11-17T02:00:00+00:00,Forgotten Tower
2025-11-17,03:00,2025-11-17T03:00:00+00:00,"City of the Damned, River of Flame"
2025-11-17,04:00,2025-11-17T04:00:00+00:00,Far Oasis
2025-11-17,05:00,2025-11-17T05:00:00+00:00,"Worldstone Keep, Throne of Destruction, Worldstone Chamber"
2025-11-17,06:00,2025-11-17T06:00:00+00:00,"Spider Forest, Spider Cavern"
2025-11-17,07:00,2025-11-17T07:00:00+00:00,Tristram
2025-11-17,08:00,2025-11-17T08:00:00+00:00,Lut Gholein Sewers
2025-11-17,09:00,2025-11-17T09:00:00+00:00,"Kurast Bazaar, Ruined Temple, Disused Fane"
2025-11-17,10:00,2025-11-17T10:00:00+00:00,Arcane Sanctuary
2025-11-17,11:00,2025-11-17T11:00:00+00:00,"Arreat Plateau, Pit of Acheron"
2025-11-17,12:00,2025-11-17T12:00:00+00:00,"Burial Grounds, Crypt, Mausoleum"
2025-11-17,13:00,2025-11-17T13:00:00+00:00,"Nihlathak's Temple, Temple Halls"
2025-11-17,14:00,2025-11-17T14:00:00+00:00,Chaos Sanctuary
2025-11-17,15:00,2025-11-17T15:00:00+00:00,"Glacial Trail, Drifter Cavern"
2025-11-17,16:00,2025-11-17T16:00:00+00:00,Stony Field
2025-11-17,17:00,2025-11-17T17:00:00+00:00,"Outer Steppes, Plains of Despair"
2025-11-17,18:00,2025-11-17T18:00:00+00:00,"Tal Rasha's Tombs, Tal Rasha's Chamber"
2025-11-17,19:00,2025-11-17T19:00:00+00:00,"Nihlathak's Temple, Temple Halls"
2025-11-17,20:00,2025-11-17T20:00:00+00:00,The Secret Cow Level
2025-11-17,21:00,2025-11-17T21:00:00+00:00,"Lost City, Valley of Snakes, Claw Viper Temple"
2025-11-17,22:00,2025-11-17T22:00:00+00:00,Travincal
2025-11-17,23:00,2025-11-17T23:00:00+00:00,"City of the Damned, River of Flame"
2025-11-18,00:00,2025-11-18T00:00:00+00:00,"Cathedral, Catacombs"
2025-11-18,01:00,2025-11-18T01:00:00+00:00,"Rocky Waste, Stony Tomb"
2025-11-18,02:00,2025-11-18T02:00:00+00:00,"Cold Plains, Cave"
2025-11-18,03:00,2025-11-18T03:00:00+00:00,"Spider Forest, Spider Cavern"
2025-11-18,04:00,2025-11-18T04:00:00+00:00,"Blood Moor, Den of Evil"
2025-11-18,05:00,2025-11-18T05:00:00+00:00,"Bloody Foothills, Frigid Highlands, Abaddon"
2025-11-18,06:00,2025-11-18T06:00:00+00:00,Pit
2025-11-18,07:00,2025-11-18T07:00:00+00:00,"Lost City, Valley of Snakes, Claw Viper Temple"
2025-11-18,08:00,2025-11-18T08:00:00+00:00,Ancient Tunnels
2025-11-18,09:00,2025-11-18T09:00:00+00:00,"Black Marsh, The Hole"
2025-11-18,10:00,2025-11-18T10:00:00+00:00,"Barracks, Jail"
2025-11-18,11:00,2025-11-18T11:00:00+00:00,Ancient Tunnels
2025-11-18,12:00,2025-11-18T12:00:00+00:00,"Dark Wood, Underground Passage"
2025-11-18,13:00,2025-11-18T13:00:00+00:00,"Flayer Jungle, Flayer Dungeon"
2025-11-18,14:00,2025-11-18T14:00:00+00:00,Arcane Sanctuary
2025-11-18,15:00,2025-11-18T15:00:00+00:00,"Rocky Waste, Stony Tomb"
2025-11-18,16:00,2025-11-18T16:00:00+00:00,"Blood Moor, Den of Evil"
2025-11-18,17:00,2025-11-18T17:00:00+00:00,"Tal Rasha's Tombs, Tal Rasha's Chamber"
2025-11-18,18:00,2025-11-18T18:00:00+00:00,Lut Gholein Sewers
2025-11-18,19:00,2025-11-18T19:00:00+00:00,"Arreat Plateau, Pit of Acheron"
2025-11-18,20:00,2025-11-18T20:00:00+00:00,Great Marsh
2025-11-18,21:00,2025-11-18T21:00:00+00:00,"Outer Steppes, Plains of Despair"
2025-11-18,22:00,2025-11-18T22:00:00+00:00,"Crystalline Passage, Frozen River"
2025-11-18,23:00,2025-11-18T23:00:00+00:00,"Spider Forest, Spider Cavern"
2025-11-19,00:00,2025-11-19T00:00:00+00:00,Ancient Tunnels
2025-11-19,01:00,2025-11-19T01:00:00+00:00,The Secret Cow Level
2025-11-19,02:00,2025-11-19T02:00:00+00:00,Forgotten Tower
2025-11-19,03:00,2025-11-19T03:00:00+00:00,"Glacial Trail, Drifter Cavern"
2025-11-19,04:00,2025-11-19T04:00:00+00:00,Durance of Hate
2025-11-19,05:00,2025-11-19T05:00:00+00:00,"Worldstone Keep, Throne of Destruction, Worldstone Chamber"
2025-11-19,06:00,2025-11-19T06:00:00+00:00,"Outer Steppes, Plains of Despair"
2025-11-19,07:00,2025-11-19T07:00:00+00:00,Travincal
2025-11-19,08:00,2025-11-19T08:00:00+00:00,"Dark Wood, Underground Passage"
2025-11-19,09:00,2025-11-19T09:00:00+00:00,"Rocky Waste, Stony Tomb"
2025-11-19,10:00,2025-11-19T10:00:00+00:00,Stony Field
2025-11-19,11:00,2025-11-19T11:00:00+00:00,"Nihlathak's Temple, Temple Halls"
2025-11-19,12:00,2025-11-19T12:00:00+00:00,"Barracks, Jail"
2025-11-19,13:00,2025-11-19T13:00:00+00:00,Tristram
2025-11-19,14:00,2025-11-19T14:00:00+00:00,"Glacial Trail, Drifter Cavern"
2025-11-19,15:00,2025-11-19T15:00:00+00:00,"Blood Moor, Den of Evil"
2025-11-19,16:00,2025-11-19T16:00:00+00:00,Durance of Hate
2025-11-19,17:00,2025-11-19T17:00:00+00:00,Lut Gholein Sewers
2025-11-19,18:00,2025-11-19T18:00:00+00:00,Ancient Tunnels
2025-11-19,19:00,2025-11-19T19:00:00+00:00,The Secret Cow Level
2025-11-19,20:00,2025-11-19T20:00:00+00:00,"Nihlathak's Temple, Temple Halls"
2025-11-19,21:00,2025-11-19T21:00:00+00:00,"Burial Grounds, Crypt, Mausoleum"
2025-11-19,22:00,2025-11-19T22:00:00+00:00,"Crystalline Passage, Frozen River"
2025-11-19,23:00,2025-11-19T23:00:00+00:00,"Glacial Trail, Drifter Cavern"
2025-11-20,00:00,2025-11-20T00:00:00+00:00,"Ancient's Way, Icy Cellar"
2025-11-20,01:00,2025-11-20T01:00:00+00:00,Far Oasis
2025-11-20,02:00,2025-11-20T02:00:00+00:00,"Dark Wood, Underground Passage"
2025-11-20,03:00,2025-11-20T03:00:00+00:00,"Rocky Waste, Stony Tomb"
2025-11-20,04:00,2025-11-20T04:00:00+00:00,"Cathedral, Catacombs"
2025-11-20,05:00,2025-11-20T05:00:00+00:00,"Outer Steppes, Plains of Despair"
2025-11-20,06:00,2025-11-20T06:00:00+00:00,Chaos Sanctuary
2025-11-20,07:00,2025-11-20T07:00:00+00:00,Pit
2025-11-20,08:00,2025-11-20T08:00:00+00:00,"Spider Forest, Spider Cavern"
2025-11-20,09:00,2025-11-20T09:00:00+00:00,Durance of Hate
2025-11-20,10:00,2025-11-20T10:00:00+00:00,"Crystalline Passage, Frozen River"
2025-11-20,11:00,2025-11-20T11:00:00+00:00,Travincal
2025-11-20,12:00,2025-11-20T12:00:00+00:00,"Dry Hills, Halls of the Dead"
2025-11-20,13:00,2025-11-20T13:00:00+00:00,"Worldstone Keep, Throne of Destruction, Worldstone Chamber"
2025-11-20,14:00,2025-11-20T14:00:00+00:00,"Cold Plains, Cave"
2025-11-20,15:00,2025-11-20T15:00:00+00:00,Chaos Sanctuary
2025-11-20,16:00,2025-11-20T16:00:00+00:00,Great Marsh
2025-11-20,17:00,2025-11-20T17:00:00+00:00,"Dark Wood, Underground Passage"
2025-11-20,18:00,2025-11-20T18:00:00+00:00,"Kurast Bazaar, Ruined Temple, Disused Fane"
2025-11-20,19:00,2025-11-20T19:00:00+00:00,"Lost City, Valley of Snakes, Claw Viper Temple"
2025-11-20,20:00,2025-11-20T20:00:00+00:00,Ancient Tunnels
2025-11-20,21:00,2025-11-20T21:00:00+00:00,"Blood Moor, Den of Evil"
2025-11-20,22:00,2025-11-20T22:00:00+00:00,Tristram
2025-11-20,23:00,2025-11-20T23:00:00+00:00,"Arreat Plateau, Pit of Acheron"
2025-11-21,00:00,2025-11-21T00:00:00+00:00,Arcane Sanctuary
2025-11-21,01:00,2025-11-21T01:00:00+00:00,"Flayer Jungle, Flayer Dungeon"
2025-11-21,02:00,2025-11-21T02:00:00+00:00,Lut Gholein Sewers
2025-11-21,03:00,2025-11-21T03:00:00+00:00,"Tal Rasha's Tombs, Tal Rasha's Chamber"
2025-11-21,04:00,2025-11-21T04:00:00+00:00,The Secret Cow Level
2025-11-21,05:00,2025-11-21T05:00:00+00:00,"Black Marsh, The Hole"
2025-11-21,06:00,2025-11-21T06:00:00+00:00,"Barracks, Jail"
2025-11-21,07:00,2025-11-21T07:00:00+00:00,"Bloody Foothills, Frigid Highlands, Abaddon"
2025-11-21,08:00,2025-11-21T08:00:00+00:00,Travincal
2025-11-21,09:00,2025-11-21T09:00:00+00:00,"Rocky Waste, Stony Tomb"
2025-11-21,10:00,2025-11-21T10:00:00+00:00,"Cathedral, Catacombs"
2025-11-21,11:00,2025-11-21T11:00:00+00:00,"Dry Hills, Halls of the Dead"
2025-11-21,12:00,2025-11-21T12:00:00+00:00,Pit
2025-11-21,13:00,2025-11-21T13:00:00+00:00,"Glacial Trail, Drifter Cavern"
2025-11-21,14:00,2025-11-21T14:00:00+00:00,"Burial Grounds, Crypt, Mausoleum"
2025-11-21,15:00,2025-11-21T15:00:00+00:00,"Kurast Bazaar, Ruined Temple, Disused Fane"
2025-11-21,16:00,2025-11-21T16:00:00+00:00,Great Marsh
2025-11-21,17:00,2025-11-21T17:00:00+00:00,"Cold Plains, Cave"
2025-11-21,18:00,2025-11-21T18:00:00+00:00,Stony Field
2025-11-21,19:00,2025-11-21T19:00:00+00:00,Durance of Hate
2025-11-21,20:00,2025-11-21T20:00:00+00:00,"Ancient's Way, Icy Cellar"
2025-11-21,21:00,2025-11-21T21:00:00+00:00,"City of the Damned, River of Flame"
2025-11-21,22:00,2025-11-21T22:00:00+00:00,"Worldstone Keep, Throne of Destruction, Worldstone Chamber"
2025-11-21,23:00,2025-11-21T23:00:00+00:00,"Crystalline Passage, Frozen River"
2025-11-22,00:00,2025-11-22T00:00:00+00:00,"Burial Grounds, Crypt, Mausoleum"
2025-11-22,01:00,2025-11-22T01:00:00+00:00,Forgotten Tower
2025-11-22,02:00,2025-11-22T02:00:00+00:00,"Blood Moor, Den of Evil"
2025-11-22,03:00,2025-11-22T03:00:00+00:00,"Rocky Waste, Stony Tomb"
2025-11-22,04:00,2025-11-22T04:00:00+00:00,"Outer Steppes, Plains of Despair"
2025-11-22,05:00,2025-11-22T05:00:00+00:00,Arcane Sanctuary
2025-11-22,06:00,2025-11-22T06:00:00+00:00,"Black Marsh, The Hole"
2025-11-22,07:00,2025-11-22T07:00:00+00:00,"Barracks, Jail"
2025-11-22,08:00,2025-11-22T08:00:00+00:00,Tristram
2025-11-22,09:00,2025-11-22T09:00:00+00:00,"Cathedral, Catacombs"
2025-11-22,10:00,2025-11-22T10:00:00+00:00,Travincal
2025-11-22,11:00,2025-11-22T11:00:00+00:00,Far Oasis
2025-11-22,12:00,2025-11-22T12:00:00+00:00,"Flayer Jungle, Flayer Dungeon"
2025-11-22,13:00,2025-11-22T13:00:00+00:00,"Lost City, Valley of Snakes, Claw Viper Temple"
2025-11-22,14:00,2025-11-22T14:00:00+00:00,"Bloody Foothills, Frigid Highlands, Abaddon"
2025-11-22,15:00,2025-11-22T15:00:00+00:00,"Outer Steppes, Plains of Despair"
2025-11-22,16:00,2025-11-22T16:00:00+00:00,Lut Gholein Sewers
2025-11-22,17:00,2025-11-22T17:00:00+00:00,"Spider Forest, Spider Cavern"
2025-11-22,18:00,2025-11-22T18:00:00+00:00,"Nihlathak's Temple, Temple Halls"
2025-11-22,19:00,2025-11-22T19:00:00+00:00,Ancient Tunnels
2025-11-22,20:00,2025-11-22T20:00:00+00:00,"Cold Plains, Cave"
2025-11-22,21:00,2025-11-22T21:00:00+00:00,"Dry Hills, Halls of the Dead"
2025-11-22,22:00,2025-11-22T22:00:00+00:00,Great Marsh
2025-11-22,23:00,2025-11-22T23:00:00+00:00,"Arreat Plateau, Pit of Acheron"
2025-11-23,00:00,2025-11-23T00:00:00+00:00,"Ancient's Way, Icy Cellar"
2025-11-23,01:00,2025-11-23T01:00:00+00:00,"Glacial Trail, Drifter Cavern"
2025-11-23,02:00,2025-11-23T02:00:00+00:00,Tristram
2025-11-23,03:00,2025-11-23T03:00:00+00:00,Chaos Sanctuary
2025-11-23,04:00,2025-11-23T04:00:00+00:00,"Worldstone Keep, Throne of Destruction, Worldstone Chamber"
2025-11-23,05:00,2025-11-23T05:00:00+00:00,Pit
2025-11-23,06:00,2025-11-23T06:00:00+00:00,"Burial Grounds, Crypt, Mausoleum"
2025-11-23,07:00,2025-11-23T07:00:00+00:00,Travincal
2025-11-23,08:00,2025-11-23T08:00:00+00:00,"Outer Steppes, Plains of Despair"
2025-11-23,09:00,2025-11-23T09:00:00+00:00,"Rocky Waste, Stony Tomb"
2025-11-23,10:00,2025-11-23T10:00:00+00:00,The Secret Cow Level
2025-11-23,11:00,2025-11-23T11:00:00+00:00,"Tal Rasha's Tombs, Tal Rasha's Chamber"
2025-11-23,12:00,2025-11-23T12:00:00+00:00,"Blood Moor, Den of Evil"
2025-11-23,13:00,2025-11-23T13:00:00+00:00,"City of the Damned, River of Flame"
2025-11-23,14:00,2025-11-23T14:00:00+00:00,"Crystalline Passage, Frozen River"
2025-11-23,15:00,2025-11-23T15:00:00+00:00,"Ancient's Way, Icy Cellar"
2025-11-23,16:00,2025-11-23T16:00:00+00:00,"Lost City, Valley of Snakes, Claw Viper Temple"
2025-11-23,17:00,2025-11-23T17:00:00+00:00,"Barracks, Jail"
2025-11-23,18:00,2025-11-23T18:00:00+00:00,"Flayer Jungle, Flayer Dungeon"
2025-11-23,19:00,2025-11-23T19:00:00+00:00,Tristram
2025-11-23,20:00,2025-11-23T20:00:00+00:00,"Kurast Bazaar, Ruined Temple, Disused Fane"
2025-11-23,21:00,2025-11-23T21:00:00+00:00,"Dry Hills, Halls of the Dead"
2025-11-23,22:00,2025-11-23T22:00:00+00:00,"Nihlathak's Temple, Temple Halls"
2025-11-23,23:00,2025-11-23T23:00:00+00:00,Far Oasis
2025-11-24,00:00,2025-11-24T00:00:00+00:00,"Bloody Foothills, Frigid Highlands, Abaddon"
2025-11-24,01:00,2025-11-24T01:00:00+00:00,Durance of Hate
2025-11-24,02:00,2025-11-24T02:00:00+00:00,Forgotten Tower
2025-11-24,03:00,2025-11-24T03:00:00+00:00,Ancient Tunnels
2025-11-24,04:00,2025-11-24T04:00:00+00:00,"Cathedral, Catacombs"
2025-11-24,05:00,2025-11-24T05:00:00+00:00,"Worldstone Keep, Throne of Destruction, Worldstone Chamber"
2025-11-24,06:00,2025-11-24T06:00:00+00:00,Lut Gholein Sewers
2025-11-24,07:00,2025-11-24T07:00:00+00:00,"Black Marsh, The Hole"
2025-11-24,08:00,2025-11-24T08:00:00+00:00,Stony Field
2025-11-24,09:00,2025-11-24T09:00:00+00:00,"Cold Plains, Cave"
2025-11-24,10:00,2025-11-24T10:00:00+00:00,"City of the Damned, River of Flame"
2025-11-24,11:00,2025-11-24T11:00:00+00:00,Arcane Sanctuary
2025-11-24,12:00,2025-11-24T12:00:00+00:00,"Lost City, Valley of Snakes, Claw Viper Temple"
2025-11-24,13:00,2025-11-24T13:00:00+00:00,Lut Gholein Sewers
2025-11-24,14:00,2025-11-24T14:00:00+00:00,"Dark Wood, Underground Passage"
2025-11-24,15:00,2025-11-24T15:00:00+00:00,"Glacial Trail, Drifter Cavern"
